,Country,index,gdppc,Nrrent,TIME,pop,life_exp,muslim,female_uni,female_over_male,IQ,SelfEfficacy,SelfConcept,math_anxiety,equality_index,f_STEM,loggdppc,hy_f_STEM
10,Ethiopia,56,674.4874,14.3,2004.0,74506.974,0.19603535368380415,47.5,29.23798,0.42638036024808157,69.0,,,,-0.2450469960000001,14.978629999999999,6.513952994969251,29.89247273244311
11,Ethiopia,57,733.51482,14.3,2005.0,76608.431,0.1965553504156742,47.5,23.60299,0.3902695038794302,69.0,,,,-0.2450469960000001,10.76005,6.597847801877906,28.071500007042953
12,Ethiopia,60,925.6903699999999,14.3,2008.0,83079.608,0.19804000519598022,47.5,24.14911,0.6151779136837833,69.0,,,,-0.2450469960000001,16.378020000000003,6.830539805080738,38.087315859881286
13,Ecuador,108,8879.6206,17.2,2007.0,14205.479,0.19216338991455337,0.0,56.78714,0.42173194661976,88.0,,,,-0.042245436000000004,35.658609999999996,9.091514109848243,29.66325316262669
14,Ecuador,109,9285.839979999999,17.2,2008.0,14447.6,0.19143456352612198,0.0,58.77081999999999,0.33519247303046956,88.0,,,,-0.042245436000000004,32.33212,9.136245936038538,25.10443099410884
15,Ecuador,115,10922.96342,17.2,2014.0,15902.916000000001,0.18391526434523078,0.0,58.60743000000001,0.28127011518609846,88.0,,,,-0.042245436000000004,28.48195,9.298622587941113,21.952444832075496
16,Croatia,117,14747.125869999998,0.7,1999.0,4456.298,0.13544112175622008,1.3,53.40804,0.4506197625271467,90.0,0.34,0.25,0.14,-0.015167614999999999,34.06054,9.59880348650983,31.06394757383666
17,Croatia,119,16234.682469999998,0.7,2001.0,4408.458,0.1348378503322477,1.3,54.951969999999996,0.5156209792500059,90.0,0.34,0.25,0.14,-0.015167614999999999,38.61195,9.694905125984114,34.02044352178057
18,Croatia,120,17086.43095,0.7,2002.0,4396.765,0.1349901575362795,1.3,55.437219999999996,0.45405318904946784,90.0,0.34,0.25,0.14,-0.015167614999999999,36.09626,9.746039915797793,31.226724886610775
19,Croatia,121,18036.0789,0.7,2003.0,4390.291,0.13509377852174262,1.3,56.53236,0.4112952007382907,90.0,0.34,0.25,0.14,-0.015167614999999999,34.84981,9.800129414115572,29.14310206136391
