Building Name,City,Height (m),Height (ft),Floors,Started,Completed,Construction Years,Frame,HPY,Broad
Comcast Building,New York City,"259,1",850,70,1931,1933,2,Steel,"129,55",No
70 Pine,New York City,"290,2",952,67,1930,1932,2,Steel,"145,1",No
Twenty Exchange,New York City,"225,9",741,57,1929,1931,2,Steel,"112,95",No
Chrysler Building,New York City,"318,9","1,046",77,1928,1930,2,Steel,"159,45",No
Metropolitan Life Tower,New York City,"213,4",700,50,1907,1909,2,Steel,"106,7",No
111 Murray Street,New York City,"241,4",792,58,2015,2018,3,Concrete,"80,4666666666667",No
Frasers Tower,Singapore,235,771,38,2015,2018,3,Concrete,"78,3333333333333",No
Nurol Life,Istanbul,220,722,60,2015,2018,3,Concrete,"73,3333333333333",No
Marina Gate I,Dubai,"206,5",677,52,2015,2018,3,Concrete,"68,8333333333333",No
Menara Astra,Jakarta,"261,5",858,50,2014,2017,3,Concrete,"87,1666666666667",No
Menam Residence,Bangkok,"239,3",785,59,2014,2017,3,Concrete,"79,7666666666667",No
609 Main at Texas,Houston,"230,1",755,48,2014,2017,3,Concrete,"76,7",No
Rongchao Headquarters Tower,Shenzhen,230,755,54,2014,2017,3,Concrete,"76,6666666666667",No
Elite 500 Dos Mares,Panama City,228,748,60,2014,2017,3,Concrete,76,No
Suzhou Center Plaza 1,Suzhou,"221,6",727,56,2014,2017,3,Concrete,"73,8666666666667",No
The Altus,Johor Bahru,220,722,60,2014,2017,3,Concrete,"73,3333333333333",No
Mistral Office Tower,Izmir,216,709,48,2014,2017,3,Concrete,72,No
Lodha Venezia Tower A,Mumbai,"213,5",700,68,2014,2017,3,Concrete,"71,1666666666667",No
The Beekman Hotel & Residences,New York City,"209,4",687,47,2014,2017,3,Concrete,"69,8",No
Horizon Skyline Garden Office Tower,Shenzhen,"209,2",686,44,2014,2017,3,Concrete,"69,7333333333333",No
Rosewood Sanya and Sanya Forum,Sanya,"207,2",680,46,2014,2017,3,Concrete,"69,0666666666667",No
Triumph One #1,Nanning,"202,9",666,47,2014,2017,3,Concrete,"67,6333333333333",No
Triumph One #2,Nanning,"202,9",666,47,2014,2017,3,Concrete,"67,6333333333333",No
"Eq, Tower",Melbourne,202,663,63,2014,2017,3,Concrete,"67,3333333333333",No
Triumph One #3,Nanning,"200,3",657,46,2014,2017,3,Concrete,"66,7666666666667",No
Triumph One #4,Nanning,"200,3",657,46,2014,2017,3,Concrete,"66,7666666666667",No
Seoul Trimage Tower I,Seoul,200,656,47,2014,2017,3,Concrete,"66,6666666666667",No
Seoul Trimage Tower II,Seoul,200,656,47,2014,2017,3,Concrete,"66,6666666666667",No
1 William Street,Brisbane,"259,8",852,46,2013,2016,3,Concrete,"86,6",No
Sumitomo Roppongi Grand Tower,Tokyo,230,755,40,2013,2016,3,Steel,"76,6666666666667",No
Ilsan Yojin Y-City Tower 103,Goyang,230,755,59,2013,2016,3,Concrete,"76,6666666666667",No
Ilsan Yojin Y-City Tower 105,Goyang,230,755,59,2013,2016,3,Concrete,"76,6666666666667",No
Vision Apartments,Melbourne,229,751,70,2013,2016,3,Concrete,"76,3333333333333",No
Ilsan Yojin Y-City Tower 102,Goyang,225,738,58,2013,2016,3,Concrete,75,No
Ilsan Yojin Y-City Tower 104,Goyang,225,738,58,2013,2016,3,Concrete,75,No
BTPN Office Tower,Jakarta,223,732,48,2013,2016,3,Concrete,"74,3333333333333",No
Ilsan Yojin Y-City Tower 106,Goyang,221,725,57,2013,2016,3,Concrete,"73,6666666666667",No
Park Lane Manor 5,Nanning,220,722,60,2013,2016,3,Concrete,"73,3333333333333",No
Park Lane Manor 6,Nanning,220,722,60,2013,2016,3,Concrete,"73,3333333333333",No
Ilsan Yojin Y-City Tower 101,Goyang,214,702,55,2013,2016,3,Concrete,"71,3333333333333",No
The Tower,Jakarta,"211,8",695,50,2013,2016,3,Concrete,"70,6",No
Fortune Center Residential Tower 1,Liuzhou,210,689,60,2013,2016,3,Concrete,70,No
Gateway Towers AQ-1,Doha,201,659,43,2013,2016,3,Concrete,67,No
Gateway Towers AQ-2,Doha,201,659,43,2013,2016,3,Concrete,67,No
Sahid Sudirman Center,Jakarta,258,846,59,2012,2015,3,Concrete,86,No
Artwin I,Incheon,"247,8",813,72,2012,2015,3,Concrete,"82,6",No
Artwin II,Incheon,"247,8",813,72,2012,2015,3,Concrete,"82,6",No
Sinarmas MSIG Tower,Jakarta,245,804,48,2012,2015,3,Concrete,"81,6666666666667",No
BDO Corporate Center Ortigas,Mandaluyong,"210,5",690,47,2012,2015,3,Concrete,"70,1666666666667",No
Allianz Tower,Milan,"209,2",686,50,2012,2015,3,Concrete,"69,7333333333333",No
Zhongtian Exhibition City 1,Guiyang,"204,8",672,43,2012,2015,3,Concrete,"68,2666666666667",No
Zhongtian Exhibition City 2,Guiyang,"204,8",672,43,2012,2015,3,Concrete,"68,2666666666667",No
Vanke Jinyu Central Tower 1,Fuzhou,"202,9",666,64,2012,2015,3,Concrete,"67,6333333333333",No
Ichon Rex Tower A,Seoul,201,659,56,2012,2015,3,Concrete,67,No
Tunjungan Plaza 5,Surabaya,201,659,50,2012,2015,3,Concrete,67,No
Pinnacle One,Chengdu,200,656,47,2012,2015,3,Concrete,"66,6666666666667",No
Busan International Finance Center Landmark Tower,Busan,289,948,63,2011,2014,3,Concrete,"96,3333333333333",No
Toranomon Hills,Tokyo,"255,5",838,52,2011,2014,3,Steel,"85,1666666666667",No
The Pakubuwono Signature,Jakarta,252,827,50,2011,2014,3,Concrete,84,No
Skysuites @ Anson Enggor Street,Singapore,250,820,72,2011,2014,3,Concrete,"83,3333333333333",No
Global Harbor North Tower,Shanghai,245,804,45,2011,2014,3,Concrete,"81,6666666666667",No
Global Harbor South Tower,Shanghai,245,804,45,2011,2014,3,Concrete,"81,6666666666667",No
Tianjin International Trade Tower 1,Tianjin,235,771,57,2011,2014,3,Steel,"78,3333333333333",No
Ligao International,Nanchang,"231,5",760,42,2011,2014,3,Concrete,"77,1666666666667",No
Grand Riviera Suites,Manila,230,755,57,2011,2014,3,Concrete,"76,6666666666667",No
The Leadenhall Building,London,224,735,52,2011,2014,3,Steel,"74,6666666666667",No
Cathay Landmark,Taipei,212,696,46,2011,2014,3,Steel,"70,6666666666667",No
Folkart Tower A,Izmir,200,656,40,2011,2014,3,Concrete,"66,6666666666667",No
Suzhou Center,Suzhou,268,879,52,2010,2013,3,Concrete,"89,3333333333333",No
Reflection Jomtien Beach Oceanfront Tower 1,Pattaya,234,768,57,2010,2013,3,Concrete,78,No
Tanhyun Doosan We've the Zenith 105,Goyang,230,755,59,2010,2013,3,Concrete,"76,6666666666667",No
Tanhyun Doosan We've the Zenith 104,Goyang,224,735,57,2010,2013,3,Concrete,"74,6666666666667",No
Asia Square Tower 2,Singapore,"221,5",727,46,2010,2013,3,Concrete,"73,8333333333333",No
DC Tower I,Vienna,220,722,60,2010,2013,3,Concrete,"73,3333333333333",No
Tanhyun Doosan We've the Zenith 102,Goyang,215,705,54,2010,2013,3,Concrete,"71,6666666666667",No
Tanhyun Doosan We've the Zenith 103,Goyang,215,705,54,2010,2013,3,Concrete,"71,6666666666667",No
Tanhyun Doosan We've the Zenith 106,Goyang,215,705,54,2010,2013,3,Concrete,"71,6666666666667",No
Tanhyun Doosan We've the Zenith 101,Goyang,212,696,53,2010,2013,3,Concrete,"70,6666666666667",No
Tanhyun Doosan We've the Zenith 107,Goyang,212,696,53,2010,2013,3,Concrete,"70,6666666666667",No
Farglory Financial Center,Taipei,"208,3",683,32,2010,2013,3,Steel,"69,4333333333333",No
Far Eastern Banqiao Tower,Banciao City,"207,4",680,50,2010,2013,3,Steel,"69,1333333333333",No
Tanhyun Doosan We've the Zenith 108,Goyang,206,676,51,2010,2013,3,Concrete,"68,6666666666667",No
Golden Mansion Center,Tianjin,203,666,36,2010,2013,3,Concrete,"67,6666666666667",No
ASE Center R2,Chongqing,"202,8",665,58,2010,2013,3,Concrete,"67,6",No
Innovation & Entrepenuership Tower,Harbin,201,659,40,2010,2013,3,Concrete,67,No
Palm Springs International Center Tower 1,Chengdu,200,656,41,2010,2013,3,Concrete,"66,6666666666667",No
Yingli International Finance Centre,Chongqing,288,945,58,2009,2012,3,Concrete,96,No
Devon Energy Center,Oklahoma City,"257,2",844,52,2009,2012,3,Concrete,"85,7333333333333",No
Marina Bay Financial Centre Office Tower III,Singapore,239,784,46,2009,2012,3,Concrete,"79,6666666666667",No
Rivage,Panama City,"233,2",765,70,2009,2012,3,Concrete,"77,7333333333333",No
The City Center @ Batavia City,Jakarta,208,682,47,2009,2012,3,Concrete,"69,3333333333333",No
Huarun Tower,Chengdu,201,659,39,2009,2012,3,Concrete,67,No
Japan Post Tower,Tokyo,"200,1",656,40,2009,2012,3,Steel,"66,7",No
Yatai Fortune Center,Changzhou,200,656,42,2009,2012,3,Concrete,"66,6666666666667",No
WBC The Palace 1,Busan,265,869,51,2008,2011,3,Concrete,"88,3333333333333",No
WBC The Palace 2,Busan,265,869,51,2008,2011,3,Concrete,"88,3333333333333",No
International Finance Center,Nanchang,239,784,48,2008,2011,3,Concrete,"79,6666666666667",No
Xinhua International Building,Chongqing,"238,6",783,53,2008,2011,3,Concrete,"79,5333333333333",No
F&F Tower,Panama City,"232,7",763,53,2008,2011,3,Concrete,"77,5666666666667",No
Tower Financial Center,Panama City,231,758,52,2008,2011,3,Concrete,77,No
Salesforce Tower,London,230,755,46,2008,2011,3,Steel,"76,6666666666667",No
Megapolis Torre 1,Panama City,230,755,63,2008,2011,3,Concrete,"76,6666666666667",No
Al Faisal Tower,Doha,227,745,54,2008,2011,3,Concrete,"75,6666666666667",No
White Tower,Panama City,218,715,62,2008,2011,3,Concrete,"72,6666666666667",No
LOHAS Park Le Prestige Tower B,Hong Kong,215,705,70,2008,2011,3,Concrete,"71,6666666666667",No
Asan SK Pentaport Residential Tower 3,Chonan,215,705,66,2008,2011,3,Concrete,"71,6666666666667",No
Keangnam Hanoi Residential Tower 1,Hanoi,212,696,49,2008,2011,3,Concrete,"70,6666666666667",No
Keangnam Hanoi Residential Tower 2,Hanoi,212,696,49,2008,2011,3,Concrete,"70,6666666666667",No
Tower 185,Frankfurt am Main,200,656,50,2008,2011,3,Concrete,"66,6666666666667",No
Al Nakheel Tower,Riyadh,200,656,26,2008,2011,3,Concrete,"66,6666666666667",No
Ocean Heights,Dubai,310,"1,017",83,2007,2010,3,Concrete,"103,333333333333",No
Radisson Royal Hotel Dubai,Dubai,269,883,60,2007,2010,3,Concrete,"89,6666666666667",No
The Legacy at Millennium Park,Chicago,"249,3",818,73,2007,2010,3,Concrete,"83,1",No
Rolex Tower,Dubai,"246,8",810,59,2007,2010,3,Concrete,"82,2666666666667",No
Tianjin Junlin Tianxia Building,Tianjin,239,784,64,2007,2010,3,Concrete,"79,6666666666667",No
Suseong Leader's View Tower A,Daegu,225,738,57,2007,2010,3,Concrete,75,No
Suseong Leader's View Tower B,Daegu,225,738,57,2007,2010,3,Concrete,75,No
Equity Tower,Jakarta,220,722,44,2007,2010,3,Concrete,"73,3333333333333",No
Onelink Center,Guangzhou,218,715,53,2007,2010,3,Concrete,"72,6666666666667",No
The Austonian,Austin,"208,2",683,56,2007,2010,3,Concrete,"69,4",No
Vertical City,Guangzhou,208,682,51,2007,2010,3,Concrete,"69,3333333333333",No
East Pacific Center Tower C,Shenzhen,206,676,40,2007,2010,3,Concrete,"68,6666666666667",No
Nassima Tower,Dubai,204,669,49,2007,2010,3,Concrete,68,No
The Ritz-Carlton Los Angeles,Los Angeles,"203,3",667,54,2007,2010,3,Steel,"67,7666666666667",No
LOHAS Park Le Prestige Tower A,Hong Kong,200,656,65,2007,2010,3,Concrete,"66,6666666666667",No
Al Tayer Tower,Dubai,225,738,55,2006,2009,3,Concrete,75,No
Keraton at the Plaza,Jakarta,225,738,48,2006,2009,3,Concrete,75,No
Palm Tower 1,Sharjah,223,732,56,2006,2009,3,Concrete,"74,3333333333333",No
Bakrie Tower,Jakarta,214,702,50,2006,2009,3,Concrete,"71,3333333333333",No
Shining Heights,Hong Kong,213,699,55,2006,2009,3,Concrete,71,No
LOHAS Park The Capitol Oslo,Hong Kong,210,689,69,2006,2009,3,Concrete,70,No
LOHAS Park The Capitol Whistler,Hong Kong,210,689,69,2006,2009,3,Concrete,70,No
Waldorf Astoria Chicago,Chicago,209,686,60,2006,2009,3,Concrete,"69,6666666666667",No
LOHAS Park The Capitol Madrid,Hong Kong,206,676,67,2006,2009,3,Concrete,"68,6666666666667",No
LOHAS Park The Capitol Milan,Hong Kong,206,676,67,2006,2009,3,Concrete,"68,6666666666667",No
The Citadel,Dubai,201,659,48,2006,2009,3,Concrete,67,No
LOHAS Park The Capitol Florence,Hong Kong,200,656,65,2006,2009,3,Concrete,"66,6666666666667",No
The Plaza Office Tower,Jakarta,200,656,42,2006,2009,3,Concrete,"66,6666666666667",No
Almas Tower,Dubai,360,"1,181",68,2005,2008,3,Concrete,120,No
The Address,Dubai,"302,2",991,63,2005,2008,3,Concrete,"100,733333333333",No
Emirates Crown,Dubai,296,971,63,2005,2008,3,Concrete,"98,6666666666667",No
Business Central Tower 1,Dubai,265,869,53,2005,2008,3,Concrete,"88,3333333333333",No
Business Central Tower 2,Dubai,265,869,53,2005,2008,3,Concrete,"88,3333333333333",No
The Sail @ Marina Bay,Singapore,245,804,70,2005,2008,3,Concrete,"81,6666666666667",No
Arenco Tower,Dubai,"243,8",800,46,2005,2008,3,Concrete,"81,2666666666667",No
Federation Tower - Zapad Tower,Moscow,"242,5",796,63,2005,2008,3,Concrete,"80,8333333333333",No
Angsana Hotel Tower,Dubai,"220,7",724,49,2005,2008,3,Concrete,"73,5666666666667",No
Fortune Tower,Shenzhen,218,715,54,2005,2008,3,Concrete,"72,6666666666667",No
Central Park Tower,Singapore,215,705,63,2005,2008,3,Concrete,"71,6666666666667",No
Jahoo Hong Kong City,Chongqing,211,692,56,2005,2008,3,Concrete,"70,3333333333333",No
New York Times Tower,New York City,"318,8","1,046",52,2004,2007,3,Steel,"106,266666666667",No
Dubai Marriott Harbour Hotel and Suites,Dubai,"253,8",833,63,2004,2007,3,Concrete,"84,6",No
Future International,Chongqing,236,774,50,2004,2007,3,Concrete,"78,6666666666667",No
Park Place,Dubai,234,768,56,2004,2007,3,Concrete,78,No
China Merchants Financial Center,Nanjing,232,761,51,2004,2007,3,Concrete,"77,3333333333333",No
Abraj Al Bait Safa Tower,Mecca,232,761,46,2004,2007,3,Concrete,"77,3333333333333",No
Victory Plaza Tower A,Guangzhou,223,732,54,2004,2007,3,Concrete,"74,3333333333333",No
Angsana Suites Tower,Dubai,"220,7",724,49,2004,2007,3,Concrete,"73,5666666666667",No
Circle on Cavill North Tower,Gold Coast,"219,5",720,70,2004,2007,3,Concrete,"73,1666666666667",No
Diwang International Commerce Center,Nanning,276,906,54,2003,2006,3,Concrete,92,No
Al Fattan Tower,Dubai,245,804,51,2003,2006,3,Concrete,"81,6666666666667",No
Oasis Beach Tower,Dubai,245,804,51,2003,2006,3,Concrete,"81,6666666666667",No
New World Center,Shenzhen,238,781,53,2003,2006,3,Concrete,"79,3333333333333",No
Plaza 66 Tower 2,Shanghai,"228,2",749,46,2003,2006,3,Concrete,"76,0666666666667",No
1180 Peachtree,Atlanta,"200,2",657,41,2003,2006,3,Concrete,"66,7333333333333",No
Q1 Tower,Gold Coast,"322,5","1,058",78,2002,2005,3,Concrete,"107,5",No
Grand Promenade Towers 2-3-5,Hong Kong,"218,9",718,66,2002,2005,3,Concrete,"72,9666666666667",No
Grosvenor House West Marina Beach,Dubai,"210,4",690,48,2002,2005,3,Concrete,"70,1333333333333",No
Grand Promenade Tower 1,Hong Kong,209,686,63,2002,2005,3,Concrete,"69,6666666666667",No
Grand Promenade Tower 6,Hong Kong,209,686,63,2002,2005,3,Concrete,"69,6666666666667",No
Freshwater Place Residential Tower,Melbourne,205,673,63,2002,2005,3,Concrete,"68,3333333333333",No
Four Seasons Place,Hong Kong,205,673,55,2002,2005,3,Concrete,"68,3333333333333",No
30 Hudson Street,Jersey City,"238,1",781,42,2001,2004,3,Steel,"79,3666666666667",No
World Tower,Sydney,230,755,73,2001,2004,3,Concrete,"76,6666666666667",No
Times Square Tower,New York City,"221,3",726,47,2001,2004,3,Steel,"73,7666666666667",No
Sorrento 1,Hong Kong,"256,4",841,75,2000,2003,3,Concrete,"85,4666666666667",No
Highcliff,Hong Kong,"252,3",828,73,2000,2003,3,Concrete,"84,1",No
The Harbourside,Hong Kong,"251,2",824,73,2000,2003,3,Concrete,"83,7333333333333",No
Four Seasons Hotel & Tower,Miami,"240,4",789,64,2000,2003,3,Concrete,"80,1333333333333",No
Sorrento 2,Hong Kong,"235,7",773,66,2000,2003,3,Concrete,"78,5666666666667",No
Sorrento 3,Hong Kong,218,715,64,2000,2003,3,Concrete,"72,6666666666667",No
Shiodome City Center,Tokyo,"215,8",708,43,2000,2003,3,Steel,"71,9333333333333",No
Victoria Towers I,Hong Kong,213,699,62,2000,2003,3,Concrete,71,No
Victoria Towers II,Hong Kong,213,699,62,2000,2003,3,Concrete,71,No
Victoria Towers III,Hong Kong,213,699,62,2000,2003,3,Concrete,71,No
Sorrento 5,Hong Kong,"212,1",696,62,2000,2003,3,Concrete,"70,7",No
Random House Tower,New York City,"208,5",684,52,2000,2003,3,Steel,"69,5",No
Sorrento 6,Hong Kong,"206,1",676,60,2000,2003,3,Concrete,"68,7",No
Shangmao Century Plaza,Nanjing,218,715,56,1999,2002,3,Concrete,"72,6666666666667",No
Dentsu Headquarters Building,Tokyo,"213,3",700,48,1999,2002,3,Steel,"71,1",No
Menara TM,Kuala Lumpur,310,"1,017",55,1998,2001,3,Concrete,"103,333333333333",No
Moshe Aviv Tower,Ramat Gan,244,801,68,1998,2001,3,Concrete,"81,3333333333333",No
Pudong International Information Port,Shanghai,211,692,41,1998,2001,3,Steel,"70,3333333333333",No
Dalian World Trade Center,Dalian,242,794,50,1997,2000,3,Steel,"80,6666666666667",No
4 Times Square,New York City,"246,5",809,48,1996,1999,3,Steel,"82,1666666666667",No
Main Tower,Frankfurt am Main,200,656,55,1996,1999,3,Concrete,"66,6666666666667",No
The Center,Hong Kong,346,"1,135",73,1995,1998,3,Steel,"115,333333333333",No
85 Sky Tower,Kaohsiung,"347,5","1,14",85,1994,1997,3,Steel,"115,833333333333",No
Westendstrasse 1,Frankfurt am Main,208,682,53,1990,1993,3,Concrete,"69,3333333333333",No
Four Seasons Hotel,New York City,"207,9",682,52,1990,1993,3,Concrete,"69,3",No
Central Plaza,Hong Kong,"373,9","1,227",78,1989,1992,3,Concrete,"124,633333333333",No
Bank of America Corporate Center,Charlotte,"265,5",871,60,1989,1992,3,Concrete,"88,5",No
SunTrust Plaza,Atlanta,"264,3",867,60,1989,1992,3,Concrete,"88,1",No
Central Park Tower,Perth,249,817,52,1989,1992,3,Concrete,83,No
Citibank Plaza 1,Hong Kong,"205,5",674,51,1989,1992,3,Concrete,"68,5",No
Tokyo Metropolitan Government Building,Tokyo,"243,4",799,48,1988,1991,3,Concrete,"81,1333333333333",No
Carnegie Hall Tower,New York City,"230,7",757,60,1988,1991,3,Concrete,"76,9",No
Deloitte,Los Angeles,"228,3",749,52,1988,1991,3,Steel,"76,1",No
777 Tower,Los Angeles,221,725,53,1988,1991,3,Steel,"73,6666666666667",No
"U,S, Bank Tower",Los Angeles,"310,3","1,018",73,1987,1990,3,Steel,"103,433333333333",No
Seattle Municipal Tower,Seattle,"220,1",722,57,1987,1990,3,Steel,"73,3666666666667",No
Salesforce Tower,Indianapolis,"213,7",701,49,1987,1990,3,Steel,"71,2333333333333",No
1 Worldwide Plaza,New York City,"237,1",778,47,1986,1989,3,Steel,"79,0333333333333",No
Figueroa at Wilshire,Los Angeles,"218,5",717,52,1986,1989,3,Steel,"72,8333333333333",No
BankWest Tower,Perth,214,702,52,1985,1988,3,Concrete,"71,3333333333333",No
Shinjuku Sumitomo Building,Tokyo,"210,3",690,52,1971,1974,3,Steel,"70,1",No
"U,S, Steel Tower",Pittsburgh,"256,3",841,64,1967,1970,3,Steel,"85,4333333333333",No
Chase Tower,Chicago,"264,6",868,61,1966,1969,3,Steel,"88,2",No
TD Tower,Toronto,"222,8",731,56,1964,1967,3,Steel,"74,2666666666667",No
MetLife Building,New York City,"246,3",808,59,1960,1963,3,Steel,"82,1",No
JPMorgan Chase Tower,New York City,"215,5",707,52,1957,1960,3,Steel,"71,8333333333333",No
Palace of Culture and Science,Warsaw,"230,7",757,42,1952,1955,3,Steel,"76,9",No
Woolworth Building,New York City,"241,4",792,57,1910,1913,3,Steel,"80,4666666666667",No
The Astaka Tower A,Johor Bahru,"278,8",915,73,2014,2018,4,Concrete,"69,7",No
The Astaka Tower B,Johor Bahru,"255,6",839,67,2014,2018,4,Concrete,"63,9",No
Panorama Tower,Miami,"252,4",828,81,2014,2018,4,Concrete,"63,1",No
Victoria One,Melbourne,"246,8",810,76,2014,2018,4,Concrete,"61,7",No
181 Fremont,San Francisco,"244,5",802,54,2014,2018,4,Steel,"61,125",No
Equatorial Plaza,Kuala Lumpur,"229,7",754,55,2014,2018,4,Concrete,"57,425",No
Ten York,Toronto,224,735,65,2014,2018,4,Concrete,56,No
Meera Tower,Dubai,213,699,52,2014,2018,4,Concrete,"53,25",No
Sequis Tower,Jakarta,210,689,39,2014,2018,4,Concrete,"52,5",No
China Life Tower 1,Jinan,200,656,47,2014,2018,4,Concrete,50,No
China Life Tower 2,Jinan,200,656,47,2014,2018,4,Concrete,50,No
Skyland Office Tower,Istanbul,284,932,65,2013,2017,4,Concrete,71,No
Skyland Residential Tower,Istanbul,284,932,64,2013,2017,4,Concrete,71,No
Metropol Tower Istanbul,Istanbul,280,919,58,2013,2017,4,Concrete,70,No
Torre KOI,San Pedro Garza García,"279,1",916,65,2013,2017,4,Concrete,"69,775",No
Victoria Dockside,Hong Kong,"273,5",897,66,2013,2017,4,Concrete,"68,375",No
Hunan Daily Media Center,Changsha,238,781,54,2013,2017,4,Concrete,"59,5",No
Harbour Plaza Residences East,Toronto,233,764,66,2013,2017,4,Concrete,"58,25",No
Lanzhou Center Office Tower,Lanzhou,229,751,40,2013,2017,4,Concrete,"57,25",No
Shenyang New World Center Tower C,Shenyang,"224,4",736,57,2013,2017,4,Concrete,"56,1",No
Harbour Plaza Residences West,Toronto,224,735,62,2013,2017,4,Concrete,56,No
MARQUE Sukhumvit,Bangkok,222,728,50,2013,2017,4,Concrete,"55,5",No
Kaisa Center Phase 3,Huizhou,220,722,45,2013,2017,4,Concrete,55,No
Fortune Center Residential Tower 2,Liuzhou,210,689,60,2013,2017,4,Concrete,"52,5",No
Eternity Apartment @ District 8,Jakarta,205,673,51,2013,2017,4,Concrete,"51,25",No
Infinity Apartment @ District 8,Jakarta,205,673,51,2013,2017,4,Concrete,"51,25",No
Al Rajhi Bank Tower,Riyadh,205,673,36,2013,2017,4,Concrete,"51,25",No
Hotel Estelar Bocagrande,Cartagena,202,663,52,2013,2017,4,Concrete,"50,5",No
The Shahar Tower,Givatayim,"201,5",661,52,2013,2017,4,Concrete,"50,375",No
Britam Tower,Nairobi,"200,1",656,31,2013,2017,4,Concrete,"50,025",No
Victoria Mansion Tower 1,Dalian,200,656,57,2013,2017,4,Concrete,50,No
Oriental Plaza T1,Chongqing,262,860,56,2012,2016,4,Concrete,"65,5",No
Grand Hyatt Metrocenter,Taguig City,"258,5",848,66,2012,2016,4,Concrete,"64,625",No
Waldorf Astoria + Magnolias Ratchaprasong,Bangkok,242,794,60,2012,2016,4,Concrete,"60,5",No
Banyan Tree Signatures,Kuala Lumpur,240,787,55,2012,2016,4,Concrete,60,No
ASE Center R3,Chongqing,"236,8",777,69,2012,2016,4,Concrete,"59,2",No
Hilton Double Tree Sinyar Tower,Doha,230,755,53,2012,2016,4,Concrete,"57,5",No
Wyndham Centre,Chongqing,226,741,48,2012,2016,4,Concrete,"56,5",No
China Resources Building,Chongqing,"223,7",734,44,2012,2016,4,Concrete,"55,925",No
Alphaland Makati Place,Makati,220,722,55,2012,2016,4,Concrete,55,No
Warsaw Spire,Warsaw,220,722,49,2012,2016,4,Concrete,55,No
Oriental Hope Intertek Plaza 1,Chengdu,219,719,45,2012,2016,4,Concrete,"54,75",No
Oriental Hope Intertek Plaza 2,Chengdu,219,719,45,2012,2016,4,Concrete,"54,75",No
China Resources Center 1,Hefei,"218,2",716,43,2012,2016,4,Concrete,"54,55",No
Causeway Bay International Plaza,Nanchang,218,715,42,2012,2016,4,Concrete,"54,5",No
Zhejiang Television Center,Hangzhou,218,715,42,2012,2016,4,Concrete,"54,5",No
Capital Place Office Tower,Jakarta,"215,2",706,47,2012,2016,4,Concrete,"53,8",No
International Financial Centre Tower 2,Jakarta,"213,2",699,49,2012,2016,4,Concrete,"53,3",No
JR Gate Tower,Nagoya,"211,1",693,46,2012,2016,4,Steel,"52,775",No
Huijin International Plaza,Guiyang,202,663,40,2012,2016,4,Concrete,"50,5",No
China Oceanwide International Center Tower 1,Wuhan,200,656,46,2012,2016,4,Concrete,50,No
Burj DAMAC,Riyadh,200,656,36,2012,2016,4,Concrete,50,No
432 Park Avenue,New York City,"425,7","1,397",85,2011,2015,4,Concrete,"106,425",No
OKO - Residential Tower,Moscow,"353,6","1,16",90,2011,2015,4,Concrete,"88,4",No
ÏCE Condominiums at York Centre 2,Toronto,"234,2",768,67,2011,2015,4,Concrete,"58,55",No
1818 Center,Wuhan,232,761,42,2011,2015,4,Concrete,58,No
UpperHills North Tower 1A,Shenzhen,"230,4",756,62,2011,2015,4,Concrete,"57,6",No
UpperHills North Tower 2A,Shenzhen,"230,4",756,62,2011,2015,4,Concrete,"57,6",No
The Leaf,Abu Dhabi,"227,9",748,57,2011,2015,4,Concrete,"56,975",No
OKO - Office Tower,Moscow,"224,5",736,46,2011,2015,4,Concrete,"56,125",No
South Beach South Tower,Singapore,"217,5",714,45,2011,2015,4,Concrete,"54,375",No
South Beach North Tower,Singapore,"217,5",714,35,2011,2015,4,Concrete,"54,375",No
Naza Tower 1,Kuala Lumpur,"215,5",707,50,2011,2015,4,Concrete,"53,875",No
The Paramount,Panama City,214,702,59,2011,2015,4,Concrete,"53,5",No
Tianhebei Tower,Guangzhou,212,696,55,2011,2015,4,Concrete,53,No
Suning Ruicheng Phase 1 E06 #1,Nanjing,210,689,46,2011,2015,4,Concrete,"52,5",No
Suning Ruicheng Phase 1 E07 #2,Nanjing,210,689,46,2011,2015,4,Concrete,"52,5",No
Suning Ruicheng Phase 1 E08 #2,Nanjing,210,689,34,2011,2015,4,Concrete,"52,5",No
Seaview Condominium @ Green Bay Pluit Tower J,Jakarta,208,682,48,2011,2015,4,Concrete,52,No
Seaview Condominium @ Green Bay Pluit Tower K,Jakarta,208,682,48,2011,2015,4,Concrete,52,No
Seaview Condominium @ Green Bay Pluit Tower L,Jakarta,208,682,48,2011,2015,4,Concrete,52,No
Seaview Condominium @ Green Bay Pluit Tower M,Jakarta,208,682,48,2011,2015,4,Concrete,52,No
HSBC Tower Soho Mall,Panama City,207,679,41,2011,2015,4,Concrete,"51,75",No
Chongqing Plaza T1,Chongqing,"206,5",677,40,2011,2015,4,Concrete,"51,625",No
Central Spring,Nanchang,200,656,40,2011,2015,4,Concrete,50,No
Folkart Tower B,Izmir,200,656,40,2011,2015,4,Concrete,50,No
Burj Rafal,Riyadh,"307,9","1,01",68,2010,2014,4,Concrete,"76,975",No
Abeno Harukas,Osaka,300,984,60,2010,2014,4,Steel,75,No
Aura at College Park,Toronto,"271,9",892,78,2010,2014,4,Concrete,"67,975",No
Altez @ Enggor Street,Singapore,250,820,62,2010,2014,4,Concrete,"62,5",No
Infinity,Brisbane,249,817,81,2010,2014,4,Concrete,"62,25",No
