Building Name,City,Height (m),Height (ft),Floors,Started,Completed,Construction Years,Frame,HPY,Broad
Millennium Hotel,Dubai,294,965,66,2004,2011,7,Concrete,42,No
Shanghai Wheelock Square,Shanghai,"270,5",887,55,2003,2010,7,Concrete,"38,6428571428571",No
Minsheng Bank Building,Wuhan,331,"1,086",68,2001,2008,7,Steel,"47,2857142857143",No
Nina Tower,Hong Kong,"320,4","1,051",80,1999,2006,7,Concrete,"45,7714285714286",No
Plaza 66,Shanghai,"288,2",945,66,1994,2001,7,Concrete,"41,1714285714286",No
Raffles City Hangzhou Tower 1,Hangzhou,"257,6",845,61,2009,2017,8,Concrete,"32,2",No
Shenyang New World Center Tower E,Shenyang,"217,8",714,55,2009,2017,8,Concrete,"27,225",No
30 Park Place,New York City,"282,2",926,67,2008,2016,8,Concrete,"35,275",No
Wenzhou Zhixin Plaza,Wenzhou,255,837,53,2008,2016,8,Concrete,"31,875",No
56 Leonard,New York City,"250,2",821,57,2008,2016,8,Concrete,"31,275",No
D1 Tower,Dubai,"277,5",911,78,2007,2015,8,Concrete,"34,6875",No
Arady Office Tower,Dubai,"237,2",778,49,2007,2015,8,Concrete,"29,65",No
Arady Residential Tower,Dubai,"215,7",708,51,2007,2015,8,Concrete,"26,9625",No
Torre Costanera,Santiago,300,984,62,2006,2014,8,Concrete,"37,5",No
Burj Daman,Dubai,235,771,65,2006,2014,8,Concrete,"29,375",No
City Centre Rotana Doha,Doha,200,656,58,2006,2014,8,Concrete,25,No
Shangri-La Hotel,Doha,200,656,58,2006,2014,8,Concrete,25,No
Merweb Hotel City Center,Doha,200,656,51,2006,2014,8,Concrete,25,No
The Imperial I,Mumbai,256,840,60,2002,2010,8,Concrete,32,No
The Imperial II,Mumbai,256,840,60,2002,2010,8,Concrete,32,No
50 West,New York City,"237,1",778,64,2008,2017,9,Concrete,"26,3444444444444",No
Wenzhou Trade Center,Wenzhou,"321,9","1,056",68,2002,2011,9,Concrete,"35,7666666666667",No
The Masterpiece,Hong Kong,257,843,64,2000,2009,9,Concrete,"28,5555555555556",No
100 East 53rd Street,New York City,"216,7",711,61,2008,2018,10,Concrete,"21,67",No
Grand Hyatt Colombo,Colombo,"229,5",753,47,2007,2017,10,Concrete,"22,95",No
Imperia Tower,Moscow,"238,7",783,60,2001,2011,10,Concrete,"23,87",No
Marina 101,Dubai,425,"1,394",101,2006,2017,11,Concrete,"38,6363636363636",No
66 Tower 1,Shanghai,"261,8",859,54,1994,2005,11,Concrete,"23,8",No
66 Tower 2,Shanghai,"261,8",859,54,1994,2005,11,Concrete,"23,8",No
United International Mansion,Chongqing,287,942,67,1998,2013,15,Concrete,"19,1333333333333",No
BSA Twin Tower 1,Mandaluyong,"221,2",726,54,1995,2011,16,Concrete,"13,825",No
BSA Twin Tower 2,Mandaluyong,"221,2",726,54,1995,2011,16,Concrete,"13,825",No
Foshan International Plaza,Foshan,208,683,51,1992,2008,16,Concrete,13,No
One Grand Central Place,New York City,"205,1",673,53,-,1930,-,Steel,#VALUE!,No
Prudential Tower,Boston,"228,6",750,52,-,1964,-,Steel,#VALUE!,No
Marine Midland Building,New York City,"209,7",688,52,-,1967,-,Steel,#VALUE!,No
555 California Street,San Francisco,"237,4",779,52,-,1969,-,Steel,#VALUE!,No
Paramount Plaza,New York City,"204,2",670,48,-,1970,-,Steel,#VALUE!,No
City National Tower,Los Angeles,"213,1",699,52,-,1971,-,Steel,#VALUE!,No
