Year,GDPpc
1270,805.92
1271,796.30
1272,824.89
1273,776.85
1274,772.75
1275,881.91
1276,774.90
1277,826.16
1278,855.21
1279,708.72
1280,715.38
1281,755.87
1282,729.02
1283,689.13
1284,708.60
1285,713.42
1286,699.30
1287,761.10
1288,733.68
1289,673.11
1290,678.76
1291,680.43
1292,716.97
1293,734.25
1294,729.08
1295,781.18
1296,812.81
1297,778.10
1298,818.85
1299,788.98
1300,783.94
1301,789.85
1302,810.67
1303,844.70
1304,764.49
1305,786.07
1306,763.76
1307,801.01
1308,810.83
1309,831.24
1310,820.58
1311,849.87
1312,827.77
1313,842.88
1314,843.52
1315,758.29
1316,725.14
1317,768.49
1318,859.01
1319,873.95
1320,856.31
1321,733.61
1322,782.07
1323,821.89
1324,758.61
1325,831.72
1326,841.80
1327,826.76
1328,767.36
1329,806.63
1330,785.04
1331,747.68
1332,786.39
1333,809.34
1334,782.08
1335,748.79
1336,783.66
1337,867.90
1338,884.09
1339,721.09
1340,807.29
1341,815.09
1342,852.59
1343,828.26
1344,883.80
1345,822.50
1346,780.97
1347,810.95
1348,830.98
1349,780.62
1350,889.00
1351,1026.99
1352,1064.66
1353,1067.86
1354,1022.79
1355,1054.14
1356,1039.81
1357,1059.54
1358,1065.06
1359,1076.68
1360,1069.49
1361,1032.00
1362,1004.95
1363,975.71
1364,1084.00
1365,1035.75
1366,1067.05
1367,1001.39
1368,994.53
1369,928.68
1370,1040.67
1371,1007.00
1372,910.84
1373,986.25
1374,907.10
1375,874.88
1376,1011.18
1377,1041.01
1378,1030.04
1379,945.76
1380,988.83
1381,1014.76
1382,1050.09
1383,1003.99
1384,1136.20
1385,1036.03
1386,1159.08
1387,1168.57
1388,1081.33
1389,1120.08
1390,1051.00
1391,1179.09
1392,1330.17
1393,1102.32
1394,1214.00
1395,1165.24
1396,1175.59
1397,1152.91
1398,1237.63
1399,1191.50
1400,1161.55
1401,1146.90
1402,1177.81
1403,1197.35
1404,1218.16
1405,1220.55
1406,1132.32
1407,1134.18
1408,1049.68
1409,1086.66
1410,1155.08
1411,1131.67
1412,1105.93
1413,1003.02
1414,1140.29
1415,1167.16
1416,1126.00
1417,1231.46
1418,1169.02
1419,1231.75
1420,1202.19
1421,1123.14
1422,1160.49
1423,1225.26
1424,1235.52
1425,1193.48
1426,1157.97
1427,1128.25
1428,1059.72
1429,1096.73
1430,1129.06
1431,1137.07
1432,1125.25
1433,1161.06
1434,1233.02
1435,1097.81
1436,1024.92
1437,985.61
1438,1036.86
1439,1085.17
1440,1097.65
1441,972.43
1442,1008.82
1443,1223.04
1444,1223.93
1445,1057.98
1446,1127.56
1447,1157.15
1448,1198.26
1449,1101.65
1450,1138.00
1451,1139.86
1452,1124.80
1453,1133.82
1454,1133.95
1455,1124.56
1456,1136.17
1457,1038.70
1458,1099.00
1459,1081.27
1460,1080.65
1461,1084.20
1462,1184.66
1463,1198.27
1464,1092.21
1465,1059.53
1466,1050.67
1467,1082.16
1468,1128.47
1469,1112.41
1470,1079.96
1471,1031.48
1472,1064.92
1473,1055.32
1474,1110.32
1475,1076.47
1476,997.42
1477,1042.37
1478,1070.64
1479,1130.57
1480,1161.81
1481,1108.97
1482,1059.34
1483,1109.59
1484,1097.68
1485,1036.32
1486,1147.04
1487,1047.22
1488,1067.74
1489,1090.46
1490,1095.86
1491,1103.52
1492,1115.31
1493,1095.77
1494,1146.01
1495,1122.05
1496,1085.43
1497,1156.29
1498,1166.06
1499,1168.98
1500,1147.93
1501,1104.69
1502,1142.03
1503,1188.36
1504,1189.00
1505,1198.86
1506,1201.33
1507,1176.59
1508,1190.09
1509,1242.48
1510,1195.48
1511,1216.71
1512,1159.62
1513,1207.06
1514,1201.63
1515,1231.17
1516,1217.15
1517,1217.53
1518,1220.93
1519,1206.80
1520,1186.70
1521,1211.52
1522,1229.77
1523,1248.93
1524,1262.08
1525,1249.83
1526,1252.80
1527,1158.51
1528,1164.32
1529,1177.40
1530,1187.26
1531,1142.48
1532,1177.36
1533,1166.60
1534,1213.95
1535,1125.76
1536,1108.30
1537,1188.76
1538,1120.83
1539,1203.95
1540,1158.76
1541,1121.75
1542,1157.15
1543,1115.43
1544,1172.66
1545,1136.30
1546,1152.92
1547,1244.81
1548,1187.07
1549,1134.61
1550,1118.53
1551,1084.94
1552,1033.36
1553,1204.46
1554,1093.09
1555,1081.42
1556,875.74
1557,959.85
1558,1246.46
1559,1179.21
1560,1185.40
1561,1202.72
1562,1191.77
1563,1294.01
1564,1246.59
1565,1243.58
1566,1390.64
1567,1298.82
1568,1292.32
1569,1281.82
1570,1175.08
1571,1174.96
1572,1132.98
1573,1294.57
1574,1142.33
1575,1268.52
1576,1304.34
1577,1102.57
1578,1254.07
1579,1231.21
1580,1160.83
1581,1118.78
1582,997.96
1583,1123.38
1584,1079.91
1585,944.06
1586,917.37
1587,1015.56
1588,1143.06
1589,997.07
1590,1053.46
1591,1060.61
1592,1144.57
1593,1212.24
1594,983.65
1595,982.86
1596,932.60
1597,890.19
1598,1061.01
1599,1209.23
1600,1143.37
1601,1130.24
1602,1184.51
1603,1250.78
1604,1330.18
1605,1184.86
1606,1238.43
1607,1122.76
1608,1062.68
1609,1225.61
1610,1297.75
1611,1188.14
1612,1132.77
1613,1090.41
1614,1051.61
1615,1136.77
1616,1072.89
1617,1183.06
1618,1176.46
1619,1072.97
1620,1245.83
1621,1238.98
1622,1069.07
1623,1060.16
1624,1204.51
1625,1216.13
1626,1170.08
1627,1171.85
1628,1316.51
1629,967.36
1630,957.65
1631,981.05
1632,1102.20
1633,1014.82
1634,1027.22
1635,1062.75
1636,1031.98
1637,997.92
1638,1098.55
1639,1109.21
1640,1138.24
1641,1014.01
1642,1105.86
1643,1166.59
1644,1180.26
1645,1021.63
1646,1030.85
1647,1024.85
1648,1038.17
1649,1020.00
1650,977.97
1651,1032.88
1652,1162.98
1653,1298.59
1654,1287.20
1655,1340.48
1656,1240.92
1657,1168.01
1658,1150.83
1659,974.37
1660,1067.10
1661,1088.81
1662,1125.36
1663,1324.75
1664,1236.18
1665,1289.71
1666,1443.78
1667,1485.18
1668,1312.15
1669,1346.35
1670,1307.99
1671,1266.91
1672,1257.81
1673,1282.84
1674,1221.19
1675,1253.10
1676,1481.54
1677,1372.26
1678,1422.41
1679,1327.91
1680,1493.74
1681,1355.26
1682,1453.82
1683,1571.34
1684,1316.07
1685,1427.30
1686,1318.43
1687,1467.01
1688,1577.83
1689,1510.47
1690,1613.62
1691,1623.47
1692,1754.70
1693,1485.99
1694,1769.12
1695,1692.37
1696,1617.92
1697,1596.54
1698,1634.38
1699,1571.85
1700,1668.33
1701,1812.44
1702,1792.72
1703,1636.62
1704,1948.33
1705,1853.79
1706,1543.12
1707,1736.33
1708,1850.87
1709,1604.77
1710,1437.03
1711,1568.68
1712,1587.12
1713,1519.72
1714,1645.37
1715,1597.68
1716,1648.41
1717,1738.13
1718,1817.73
1719,1772.73
1720,1892.35
1721,1820.54
1722,1838.55
1723,1788.32
1724,1764.69
1725,1804.33
1726,1734.58
1727,1715.63
1728,1783.67
1729,1714.69
1730,1772.25
1731,1745.75
1732,1868.11
1733,1894.05
1734,1860.14
1735,1800.63
1736,1921.05
1737,1808.01
1738,1833.85
1739,1810.98
1740,1771.52
1741,1819.21
1742,1880.06
1743,1836.80
1744,1799.54
1745,1808.09
1746,1854.37
1747,1930.67
1748,1905.80
1749,1882.94
1750,1897.72
1751,1845.71
1752,1923.49
1753,1925.10
1754,1856.86
1755,1898.81
1756,1850.50
1757,1947.44
1758,1968.19
1759,1990.63
1760,2034.69
1761,2099.21
1762,2031.27
1763,2027.90
1764,2015.60
1765,1982.03
1766,1997.61
1767,2005.23
1768,2017.07
1769,2116.17
1770,2042.65
1771,2066.64
1772,1998.14
1773,2017.32
1774,1957.72
1775,1998.57
1776,2043.29
1777,2082.19
1778,2046.26
1779,2021.37
1780,2101.84
1781,2145.82
1782,2116.71
1783,2089.97
1784,2092.98
1785,2059.03
1786,2075.95
1787,2020.63
1788,1993.46
1789,2017.88
1790,2143.62
1791,2129.39
1792,2188.87
1793,2130.08
1794,2040.69
1795,2242.98
1796,2258.61
1797,2220.89
1798,2214.80
1799,2248.33
1800,2331.73
1801,2338.08
1802,2348.02
1803,2271.52
1804,2239.85
1805,2336.93
1806,2291.82
1807,2405.81
1808,2261.09
1809,2301.13
1810,2420.11
1811,2363.56
1812,2237.19
1813,2322.78
1814,2241.18
1815,2436.80
1816,2271.30
1817,2271.83
1818,2236.72
1819,2166.74
1820,2312.04
1821,2312.37
1822,2317.28
1823,2347.71
1824,2439.70
1825,2455.26
1826,2292.06
1827,2438.06
1828,2406.61
1829,2393.50
1830,2467.70
1831,2509.59
1832,2494.64
1833,2491.26
1834,2542.32
1835,2664.80
1836,2699.93
1837,2646.57
1838,2745.99
1839,2773.96
1840,2749.89
1841,2643.43
1842,2597.53
1843,2647.48
1844,2818.35
1845,2912.61
1846,3043.46
1847,2972.96
1848,3002.66
1849,2990.50
1850,2913.64
1851,3004.39
1852,3059.38
1853,3135.85
1854,3232.58
1855,3159.59
1856,3264.93
1857,3261.41
1858,3213.96
1859,3299.71
1860,3347.19
1861,3371.68
1862,3302.77
1863,3439.75
1864,3445.82
1865,3564.35
1866,3569.13
1867,3543.31
1868,3639.08
1869,3683.75
1870,3927.18
1871,4104.13
1872,4065.42
1873,4038.55
1874,4152.99
1875,4131.02
1876,4089.48
1877,4067.54
1878,4010.64
1879,3880.03
1880,4115.99
1881,4168.96
1882,4183.09
1883,4273.00
1884,4178.84
1885,4089.09
1886,4057.81
1887,4188.41
1888,4283.00
1889,4375.53
1890,4375.87
1891,4460.65
1892,4299.19
1893,4212.08
1894,4373.34
1895,4465.92
1896,4602.30
